onset,duration,description
0,80,ignore
81000000000,10,happy
82000000000,10,happy
83000000000,10,happy
84000000000,10,happy
85000000000,10,happy
86000000000,10,happy
87000000000,10,happy
1.5E+11,75,ignore
2.25E+11,10,sad
2.35E+11,10,sad
2.45E+11,10,sad
2.55E+11,10,sad
2.65E+11,10,sad
2.75E+12,65,ignore
3.4E+11,10,happy
3.5E+11,10,happy
3.6E+11,10,happy
3.7E+11,10,happy
3.8E+11,10,happy
3.9E+11,10,happy
4E+11,10,happy
4.1E+11,10,happy
4.2E+11,40,ignore
4.6E+11,10,sad
4.7E+11,10,sad
4.8E+11,10,sad
4.9E+11,10,sad
5E+11,10,sad
5.1E+11,10,sad
5.2E+11,10,sad
